,Book-Title,Avg-Rating,Num-Ratings,Image-URL-M
0,Wild Animus,1.0634920634920635,63,http://images.amazon.com/images/P/0971880107.01.MZZZZZZZ.jpg
63,The Lovely Bones: A Novel,4.0,29,http://images.amazon.com/images/P/0316666343.01.MZZZZZZZ.jpg
92,Divine Secrets of the Ya-Ya Sisterhood: A Novel,4.181818181818182,22,http://images.amazon.com/images/P/0060928336.01.MZZZZZZZ.jpg
114,The Da Vinci Code,4.045454545454546,22,http://images.amazon.com/images/P/0385504209.01.MZZZZZZZ.jpg
136,The Nanny Diaries: A Novel,3.9523809523809526,21,http://images.amazon.com/images/P/0312291639.01.MZZZZZZZ.jpg
157,Summer Sisters,3.2941176470588234,17,http://images.amazon.com/images/P/0440226430.01.MZZZZZZZ.jpg
174,The Five People You Meet in Heaven,5.0625,16,http://images.amazon.com/images/P/0786868716.01.MZZZZZZZ.jpg
190,Suzanne's Diary for Nicholas,4.0625,16,http://images.amazon.com/images/P/0446679593.01.MZZZZZZZ.jpg
206,Me Talk Pretty One Day,3.8,15,http://images.amazon.com/images/P/0316777722.01.MZZZZZZZ.jpg
221,A Painted House,2.533333333333333,15,http://images.amazon.com/images/P/038550120X.01.MZZZZZZZ.jpg
